model,price,year,mileage,vol_engine,Power
note,19946.845454545455,2009.95,157344.28181818183,1392.459090909091,89.61363636363636
octavia,58304.404938271604,2015.0748971193416,157930.58436213993,1694.4839506172839,138.40905349794238
one,31751.638418079096,2011.0282485875707,132073.22598870058,1474.1525423728813,90.29378531073446
optima,72002.9344262295,2016.5573770491803,123452.24043715847,1756.2349726775956,158.96174863387978
orlando,29227.83606557377,2011.8032786885246,189260.62295081967,1864.0983606557377,144.68852459016392
outlander,61585.018461538464,2013.2984615384617,144320.80307692307,2091.587692307692,152.00923076923078
panda,20434.4,2011.5133333333333,127867.48333333334,1163.6766666666667,65.20666666666666
partner,34712.471482889734,2013.6311787072243,183110.82509505702,1565.7718631178707,94.58174904942966
passat,67937.7911791179,2014.5616561656166,172605.43699369938,1878.893789378938,159.54095409540955
passat-cc,35375.15873015873,2009.968253968254,212972.90476190476,1969.0,166.25396825396825
patrol,121033.33333333333,2010.4166666666667,166331.25,3936.3333333333335,228.58333333333334
phaeton,35162.458333333336,2008.125,274384.0833333333,3068.7916666666665,240.375
picanto,30073.707602339182,2014.2397660818713,83580.71929824562,1063.204678362573,70.4327485380117
polo,29015.48827292111,2011.7185501066099,134459.34008528784,1261.9307036247335,80.12153518123668
primera,8196.076923076924,2005.1538461538462,214783.76923076922,1837.6923076923076,120.92307692307692
prius,52321.0,2012.2096774193549,170931.90322580645,1696.0564516129032,94.33870967741936
pro-ceed,75988.9262295082,2016.6065573770493,81410.45901639345,1518.344262295082,146.48360655737704
proace-verso,183793.96875,2020.71875,31845.421875,1945.328125,154.34375
puma,110927.03278688525,2021.4754098360656,3848.344262295082,1048.0819672131147,131.88524590163934
punto,18523.66304347826,2011.141304347826,137885.14673913043,1314.2065217391305,74.97282608695652
punto-evo,18191.860215053763,2010.8709677419354,157953.81720430107,1304.8494623655913,80.36559139784946
q5,163008.21392532796,2016.9969727547932,95764.23612512613,2053.505549949546,205.70534813319878
q7,187013.07171314742,2014.7211155378486,146587.65537848606,3092.370517928287,269.95019920318725
q8,414268.875,2020.0703125,36991.671875,3040.1796875,312.578125
qashqai,64675.233502538074,2014.5431472081218,118496.01840101523,1533.0774111675128,130.40609137055839
qashqai-2,37712.95480225989,2010.723163841808,186110.27683615818,1802.3672316384182,132.71751412429379
r-klasa,40322.51612903226,2008.1935483870968,256053.03225806452,3150.1612903225805,236.83870967741936
ranger,141098.176,2017.448,90296.184,2467.352,188.88
rapid,42204.03203661327,2016.6407322654463,125278.28832951945,1248.9771167048054,100.85354691075514
rav4,90295.84537572254,2014.2702312138729,121067.03901734104,2204.8829479768788,160.378612716763
roomster,18520.18954248366,2009.562091503268,196107.4183006536,1445.7385620915034,89.75816993464052
rs-q3,330807.1875,2021.5,13863.9375,2480.0,400.0
rs3,270378.09375,2019.625,30761.28125,2480.625,396.71875
rs5,408591.5,2019.375,34728.75,3092.84375,451.375
rs6,562826.3333333334,2019.017543859649,48092.47368421053,4030.1403508771928,592.6315789473684
s-klasa,288170.24847560975,2013.5823170731708,141842.8780487805,3945.6600609756097,380.922256097561
s-max,48470.748411689965,2011.4650571791615,202955.44853875478,1986.0520965692504,156.52604828462515
s3,163350.5064935065,2017.7857142857142,60924.14935064935,1984.2857142857142,302.44805194805195
s40,18871.37,2007.52,220985.61,1854.48,129.16
s5,128209.8947368421,2014.0,110802.8947368421,3338.1263157894737,346.37894736842105
s60,72886.92924528301,2013.7051886792453,144566.83254716982,2113.627358490566,203.94575471698113
s8,466463.25423728814,2017.8305084745762,76892.18644067796,4056.0,559.3728813559322
s80,40737.6357615894,2009.6556291390727,226075.0132450331,2511.218543046358,206.53642384105962
santa-fe,98066.99152542373,2014.6440677966102,123037.2627118644,2136.8389830508477,187.4915254237288
scala,89717.73228346456,2020.7952755905512,20276.181102362203,1131.8267716535433,118.4251968503937
